PLAYER_x,CLUB,POSITION_x,ASSISTS,CORNER(TAKEN),OFFSIDES,DRIBBLES,MATCHES_x,PLAYER_y,POSITION_y,RECOVERY(BALL),TACKLES,TACKLES(WON),TACKLES(LOST),CLEARANCE(ATTEMPT),MATCHES_y
Antony,Ajax,Forward,5,3,4,28,7,Martínez,Defender,53,10,2,8,19,8
Antony,Ajax,Forward,5,3,4,28,7,Mazraoui,Defender,40,16,10,6,9,8
Antony,Ajax,Forward,5,3,4,28,7,J. Timber,Midfielder,35,6,2,4,12,8
Antony,Ajax,Forward,5,3,4,28,7,Blind,Defender,32,11,4,7,8,8
Antony,Ajax,Forward,5,3,4,28,7,Gravenberch,Midfielder,30,4,3,1,10,8
Antony,Ajax,Forward,5,3,4,28,7,Álvarez,Midfielder,29,19,10,9,7,7
Antony,Ajax,Forward,5,3,4,28,7,Antony,Forward,25,7,3,4,2,7
Antony,Ajax,Forward,5,3,4,28,7,Berghuis,Forward,14,6,2,4,3,8
Antony,Ajax,Forward,5,3,4,28,7,Schuurs,Defender,13,5,2,3,2,3
Antony,Ajax,Forward,5,3,4,28,7,Tadić,Forward,12,2,0,2,1,7
Antony,Ajax,Forward,5,3,4,28,7,Haller,Forward,10,8,2,6,5,8
Antony,Ajax,Forward,5,3,4,28,7,Tagliafico,Defender,10,4,3,1,1,3
Antony,Ajax,Forward,5,3,4,28,7,Klaassen,Midfielder,10,3,1,2,2,7
Antony,Ajax,Forward,5,3,4,28,7,Rensch,Defender,8,5,2,3,1,5
Antony,Ajax,Forward,5,3,4,28,7,Neres,Forward,3,0,0,0,0,5
Antony,Ajax,Forward,5,3,4,28,7,Taylor,Midfielder,1,1,0,1,0,3
Antony,Ajax,Forward,5,3,4,28,7,Daramy,Forward,1,0,0,0,1,2
Antony,Ajax,Forward,5,3,4,28,7,Kudus,Midfielder,1,0,0,0,0,2
Tadić,Ajax,Forward,2,5,5,13,7,Martínez,Defender,53,10,2,8,19,8
Tadić,Ajax,Forward,2,5,5,13,7,Mazraoui,Defender,40,16,10,6,9,8
Tadić,Ajax,Forward,2,5,5,13,7,J. Timber,Midfielder,35,6,2,4,12,8
Tadić,Ajax,Forward,2,5,5,13,7,Blind,Defender,32,11,4,7,8,8
Tadić,Ajax,Forward,2,5,5,13,7,Gravenberch,Midfielder,30,4,3,1,10,8
Tadić,Ajax,Forward,2,5,5,13,7,Álvarez,Midfielder,29,19,10,9,7,7
Tadić,Ajax,Forward,2,5,5,13,7,Antony,Forward,25,7,3,4,2,7
Tadić,Ajax,Forward,2,5,5,13,7,Berghuis,Forward,14,6,2,4,3,8
Tadić,Ajax,Forward,2,5,5,13,7,Schuurs,Defender,13,5,2,3,2,3
Tadić,Ajax,Forward,2,5,5,13,7,Tadić,Forward,12,2,0,2,1,7
Tadić,Ajax,Forward,2,5,5,13,7,Haller,Forward,10,8,2,6,5,8
Tadić,Ajax,Forward,2,5,5,13,7,Tagliafico,Defender,10,4,3,1,1,3
Tadić,Ajax,Forward,2,5,5,13,7,Klaassen,Midfielder,10,3,1,2,2,7
Tadić,Ajax,Forward,2,5,5,13,7,Rensch,Defender,8,5,2,3,1,5
Tadić,Ajax,Forward,2,5,5,13,7,Neres,Forward,3,0,0,0,0,5
Tadić,Ajax,Forward,2,5,5,13,7,Taylor,Midfielder,1,1,0,1,0,3
Tadić,Ajax,Forward,2,5,5,13,7,Daramy,Forward,1,0,0,0,1,2
Tadić,Ajax,Forward,2,5,5,13,7,Kudus,Midfielder,1,0,0,0,0,2
Mazraoui,Ajax,Defender,2,0,0,13,8,Martínez,Defender,53,10,2,8,19,8
Mazraoui,Ajax,Defender,2,0,0,13,8,Mazraoui,Defender,40,16,10,6,9,8
Mazraoui,Ajax,Defender,2,0,0,13,8,J. Timber,Midfielder,35,6,2,4,12,8
Mazraoui,Ajax,Defender,2,0,0,13,8,Blind,Defender,32,11,4,7,8,8
Mazraoui,Ajax,Defender,2,0,0,13,8,Gravenberch,Midfielder,30,4,3,1,10,8
Mazraoui,Ajax,Defender,2,0,0,13,8,Álvarez,Midfielder,29,19,10,9,7,7
Mazraoui,Ajax,Defender,2,0,0,13,8,Antony,Forward,25,7,3,4,2,7
Mazraoui,Ajax,Defender,2,0,0,13,8,Berghuis,Forward,14,6,2,4,3,8
Mazraoui,Ajax,Defender,2,0,0,13,8,Schuurs,Defender,13,5,2,3,2,3
Mazraoui,Ajax,Defender,2,0,0,13,8,Tadić,Forward,12,2,0,2,1,7
Mazraoui,Ajax,Defender,2,0,0,13,8,Haller,Forward,10,8,2,6,5,8
Mazraoui,Ajax,Defender,2,0,0,13,8,Tagliafico,Defender,10,4,3,1,1,3
Mazraoui,Ajax,Defender,2,0,0,13,8,Klaassen,Midfielder,10,3,1,2,2,7
Mazraoui,Ajax,Defender,2,0,0,13,8,Rensch,Defender,8,5,2,3,1,5
Mazraoui,Ajax,Defender,2,0,0,13,8,Neres,Forward,3,0,0,0,0,5
Mazraoui,Ajax,Defender,2,0,0,13,8,Taylor,Midfielder,1,1,0,1,0,3
Mazraoui,Ajax,Defender,2,0,0,13,8,Daramy,Forward,1,0,0,0,1,2
Mazraoui,Ajax,Defender,2,0,0,13,8,Kudus,Midfielder,1,0,0,0,0,2
Berghuis,Ajax,Forward,1,15,2,3,8,Martínez,Defender,53,10,2,8,19,8
Berghuis,Ajax,Forward,1,15,2,3,8,Mazraoui,Defender,40,16,10,6,9,8
Berghuis,Ajax,Forward,1,15,2,3,8,J. Timber,Midfielder,35,6,2,4,12,8
Berghuis,Ajax,Forward,1,15,2,3,8,Blind,Defender,32,11,4,7,8,8
Berghuis,Ajax,Forward,1,15,2,3,8,Gravenberch,Midfielder,30,4,3,1,10,8
Berghuis,Ajax,Forward,1,15,2,3,8,Álvarez,Midfielder,29,19,10,9,7,7
Berghuis,Ajax,Forward,1,15,2,3,8,Antony,Forward,25,7,3,4,2,7
Berghuis,Ajax,Forward,1,15,2,3,8,Berghuis,Forward,14,6,2,4,3,8
Berghuis,Ajax,Forward,1,15,2,3,8,Schuurs,Defender,13,5,2,3,2,3
Berghuis,Ajax,Forward,1,15,2,3,8,Tadić,Forward,12,2,0,2,1,7
Berghuis,Ajax,Forward,1,15,2,3,8,Haller,Forward,10,8,2,6,5,8
Berghuis,Ajax,Forward,1,15,2,3,8,Tagliafico,Defender,10,4,3,1,1,3
Berghuis,Ajax,Forward,1,15,2,3,8,Klaassen,Midfielder,10,3,1,2,2,7
Berghuis,Ajax,Forward,1,15,2,3,8,Rensch,Defender,8,5,2,3,1,5
Berghuis,Ajax,Forward,1,15,2,3,8,Neres,Forward,3,0,0,0,0,5
Berghuis,Ajax,Forward,1,15,2,3,8,Taylor,Midfielder,1,1,0,1,0,3
Berghuis,Ajax,Forward,1,15,2,3,8,Daramy,Forward,1,0,0,0,1,2
Berghuis,Ajax,Forward,1,15,2,3,8,Kudus,Midfielder,1,0,0,0,0,2
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Martínez,Defender,53,10,2,8,19,8
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Mazraoui,Defender,40,16,10,6,9,8
Gravenberch,Ajax,Midfielder,1,15,1,18,8,J. Timber,Midfielder,35,6,2,4,12,8
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Blind,Defender,32,11,4,7,8,8
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Gravenberch,Midfielder,30,4,3,1,10,8
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Álvarez,Midfielder,29,19,10,9,7,7
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Antony,Forward,25,7,3,4,2,7
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Berghuis,Forward,14,6,2,4,3,8
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Schuurs,Defender,13,5,2,3,2,3
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Tadić,Forward,12,2,0,2,1,7
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Haller,Forward,10,8,2,6,5,8
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Tagliafico,Defender,10,4,3,1,1,3
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Klaassen,Midfielder,10,3,1,2,2,7
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Rensch,Defender,8,5,2,3,1,5
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Neres,Forward,3,0,0,0,0,5
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Taylor,Midfielder,1,1,0,1,0,3
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Daramy,Forward,1,0,0,0,1,2
Gravenberch,Ajax,Midfielder,1,15,1,18,8,Kudus,Midfielder,1,0,0,0,0,2
Haller,Ajax,Forward,1,0,3,9,8,Martínez,Defender,53,10,2,8,19,8
Haller,Ajax,Forward,1,0,3,9,8,Mazraoui,Defender,40,16,10,6,9,8
Haller,Ajax,Forward,1,0,3,9,8,J. Timber,Midfielder,35,6,2,4,12,8
Haller,Ajax,Forward,1,0,3,9,8,Blind,Defender,32,11,4,7,8,8
Haller,Ajax,Forward,1,0,3,9,8,Gravenberch,Midfielder,30,4,3,1,10,8
Haller,Ajax,Forward,1,0,3,9,8,Álvarez,Midfielder,29,19,10,9,7,7
Haller,Ajax,Forward,1,0,3,9,8,Antony,Forward,25,7,3,4,2,7
Haller,Ajax,Forward,1,0,3,9,8,Berghuis,Forward,14,6,2,4,3,8
Haller,Ajax,Forward,1,0,3,9,8,Schuurs,Defender,13,5,2,3,2,3
Haller,Ajax,Forward,1,0,3,9,8,Tadić,Forward,12,2,0,2,1,7
Haller,Ajax,Forward,1,0,3,9,8,Haller,Forward,10,8,2,6,5,8
Haller,Ajax,Forward,1,0,3,9,8,Tagliafico,Defender,10,4,3,1,1,3
Haller,Ajax,Forward,1,0,3,9,8,Klaassen,Midfielder,10,3,1,2,2,7
Haller,Ajax,Forward,1,0,3,9,8,Rensch,Defender,8,5,2,3,1,5
Haller,Ajax,Forward,1,0,3,9,8,Neres,Forward,3,0,0,0,0,5
Haller,Ajax,Forward,1,0,3,9,8,Taylor,Midfielder,1,1,0,1,0,3
Haller,Ajax,Forward,1,0,3,9,8,Daramy,Forward,1,0,0,0,1,2
Haller,Ajax,Forward,1,0,3,9,8,Kudus,Midfielder,1,0,0,0,0,2
Blind,Ajax,Defender,1,0,1,8,8,Martínez,Defender,53,10,2,8,19,8
Blind,Ajax,Defender,1,0,1,8,8,Mazraoui,Defender,40,16,10,6,9,8
Blind,Ajax,Defender,1,0,1,8,8,J. Timber,Midfielder,35,6,2,4,12,8
Blind,Ajax,Defender,1,0,1,8,8,Blind,Defender,32,11,4,7,8,8
Blind,Ajax,Defender,1,0,1,8,8,Gravenberch,Midfielder,30,4,3,1,10,8
Blind,Ajax,Defender,1,0,1,8,8,Álvarez,Midfielder,29,19,10,9,7,7
Blind,Ajax,Defender,1,0,1,8,8,Antony,Forward,25,7,3,4,2,7
Blind,Ajax,Defender,1,0,1,8,8,Berghuis,Forward,14,6,2,4,3,8
Blind,Ajax,Defender,1,0,1,8,8,Schuurs,Defender,13,5,2,3,2,3
Blind,Ajax,Defender,1,0,1,8,8,Tadić,Forward,12,2,0,2,1,7
Blind,Ajax,Defender,1,0,1,8,8,Haller,Forward,10,8,2,6,5,8
Blind,Ajax,Defender,1,0,1,8,8,Tagliafico,Defender,10,4,3,1,1,3
Blind,Ajax,Defender,1,0,1,8,8,Klaassen,Midfielder,10,3,1,2,2,7
Blind,Ajax,Defender,1,0,1,8,8,Rensch,Defender,8,5,2,3,1,5
Blind,Ajax,Defender,1,0,1,8,8,Neres,Forward,3,0,0,0,0,5
Blind,Ajax,Defender,1,0,1,8,8,Taylor,Midfielder,1,1,0,1,0,3
Blind,Ajax,Defender,1,0,1,8,8,Daramy,Forward,1,0,0,0,1,2
Blind,Ajax,Defender,1,0,1,8,8,Kudus,Midfielder,1,0,0,0,0,2
Martínez,Ajax,Defender,1,0,0,3,8,Martínez,Defender,53,10,2,8,19,8
Martínez,Ajax,Defender,1,0,0,3,8,Mazraoui,Defender,40,16,10,6,9,8
Martínez,Ajax,Defender,1,0,0,3,8,J. Timber,Midfielder,35,6,2,4,12,8
Martínez,Ajax,Defender,1,0,0,3,8,Blind,Defender,32,11,4,7,8,8
Martínez,Ajax,Defender,1,0,0,3,8,Gravenberch,Midfielder,30,4,3,1,10,8
Martínez,Ajax,Defender,1,0,0,3,8,Álvarez,Midfielder,29,19,10,9,7,7
Martínez,Ajax,Defender,1,0,0,3,8,Antony,Forward,25,7,3,4,2,7
Martínez,Ajax,Defender,1,0,0,3,8,Berghuis,Forward,14,6,2,4,3,8
Martínez,Ajax,Defender,1,0,0,3,8,Schuurs,Defender,13,5,2,3,2,3
Martínez,Ajax,Defender,1,0,0,3,8,Tadić,Forward,12,2,0,2,1,7
Martínez,Ajax,Defender,1,0,0,3,8,Haller,Forward,10,8,2,6,5,8
Martínez,Ajax,Defender,1,0,0,3,8,Tagliafico,Defender,10,4,3,1,1,3
Martínez,Ajax,Defender,1,0,0,3,8,Klaassen,Midfielder,10,3,1,2,2,7
Martínez,Ajax,Defender,1,0,0,3,8,Rensch,Defender,8,5,2,3,1,5
Martínez,Ajax,Defender,1,0,0,3,8,Neres,Forward,3,0,0,0,0,5
Martínez,Ajax,Defender,1,0,0,3,8,Taylor,Midfielder,1,1,0,1,0,3
Martínez,Ajax,Defender,1,0,0,3,8,Daramy,Forward,1,0,0,0,1,2
Martínez,Ajax,Defender,1,0,0,3,8,Kudus,Midfielder,1,0,0,0,0,2
Tagliafico,Ajax,Defender,1,0,0,1,3,Martínez,Defender,53,10,2,8,19,8
Tagliafico,Ajax,Defender,1,0,0,1,3,Mazraoui,Defender,40,16,10,6,9,8
Tagliafico,Ajax,Defender,1,0,0,1,3,J. Timber,Midfielder,35,6,2,4,12,8
Tagliafico,Ajax,Defender,1,0,0,1,3,Blind,Defender,32,11,4,7,8,8
Tagliafico,Ajax,Defender,1,0,0,1,3,Gravenberch,Midfielder,30,4,3,1,10,8
Tagliafico,Ajax,Defender,1,0,0,1,3,Álvarez,Midfielder,29,19,10,9,7,7
Tagliafico,Ajax,Defender,1,0,0,1,3,Antony,Forward,25,7,3,4,2,7
Tagliafico,Ajax,Defender,1,0,0,1,3,Berghuis,Forward,14,6,2,4,3,8
Tagliafico,Ajax,Defender,1,0,0,1,3,Schuurs,Defender,13,5,2,3,2,3
Tagliafico,Ajax,Defender,1,0,0,1,3,Tadić,Forward,12,2,0,2,1,7
Tagliafico,Ajax,Defender,1,0,0,1,3,Haller,Forward,10,8,2,6,5,8
Tagliafico,Ajax,Defender,1,0,0,1,3,Tagliafico,Defender,10,4,3,1,1,3
Tagliafico,Ajax,Defender,1,0,0,1,3,Klaassen,Midfielder,10,3,1,2,2,7
Tagliafico,Ajax,Defender,1,0,0,1,3,Rensch,Defender,8,5,2,3,1,5
Tagliafico,Ajax,Defender,1,0,0,1,3,Neres,Forward,3,0,0,0,0,5
Tagliafico,Ajax,Defender,1,0,0,1,3,Taylor,Midfielder,1,1,0,1,0,3
Tagliafico,Ajax,Defender,1,0,0,1,3,Daramy,Forward,1,0,0,0,1,2
Tagliafico,Ajax,Defender,1,0,0,1,3,Kudus,Midfielder,1,0,0,0,0,2
Klaassen,Ajax,Midfielder,1,0,0,0,7,Martínez,Defender,53,10,2,8,19,8
Klaassen,Ajax,Midfielder,1,0,0,0,7,Mazraoui,Defender,40,16,10,6,9,8
Klaassen,Ajax,Midfielder,1,0,0,0,7,J. Timber,Midfielder,35,6,2,4,12,8
Klaassen,Ajax,Midfielder,1,0,0,0,7,Blind,Defender,32,11,4,7,8,8
Klaassen,Ajax,Midfielder,1,0,0,0,7,Gravenberch,Midfielder,30,4,3,1,10,8
Klaassen,Ajax,Midfielder,1,0,0,0,7,Álvarez,Midfielder,29,19,10,9,7,7
Klaassen,Ajax,Midfielder,1,0,0,0,7,Antony,Forward,25,7,3,4,2,7
Klaassen,Ajax,Midfielder,1,0,0,0,7,Berghuis,Forward,14,6,2,4,3,8
Klaassen,Ajax,Midfielder,1,0,0,0,7,Schuurs,Defender,13,5,2,3,2,3
Klaassen,Ajax,Midfielder,1,0,0,0,7,Tadić,Forward,12,2,0,2,1,7
Klaassen,Ajax,Midfielder,1,0,0,0,7,Haller,Forward,10,8,2,6,5,8
Klaassen,Ajax,Midfielder,1,0,0,0,7,Tagliafico,Defender,10,4,3,1,1,3
Klaassen,Ajax,Midfielder,1,0,0,0,7,Klaassen,Midfielder,10,3,1,2,2,7
Klaassen,Ajax,Midfielder,1,0,0,0,7,Rensch,Defender,8,5,2,3,1,5
Klaassen,Ajax,Midfielder,1,0,0,0,7,Neres,Forward,3,0,0,0,0,5
Klaassen,Ajax,Midfielder,1,0,0,0,7,Taylor,Midfielder,1,1,0,1,0,3
Klaassen,Ajax,Midfielder,1,0,0,0,7,Daramy,Forward,1,0,0,0,1,2
Klaassen,Ajax,Midfielder,1,0,0,0,7,Kudus,Midfielder,1,0,0,0,0,2
Schuurs,Ajax,Defender,1,0,0,0,3,Martínez,Defender,53,10,2,8,19,8
Schuurs,Ajax,Defender,1,0,0,0,3,Mazraoui,Defender,40,16,10,6,9,8
Schuurs,Ajax,Defender,1,0,0,0,3,J. Timber,Midfielder,35,6,2,4,12,8
Schuurs,Ajax,Defender,1,0,0,0,3,Blind,Defender,32,11,4,7,8,8
Schuurs,Ajax,Defender,1,0,0,0,3,Gravenberch,Midfielder,30,4,3,1,10,8
Schuurs,Ajax,Defender,1,0,0,0,3,Álvarez,Midfielder,29,19,10,9,7,7
Schuurs,Ajax,Defender,1,0,0,0,3,Antony,Forward,25,7,3,4,2,7
Schuurs,Ajax,Defender,1,0,0,0,3,Berghuis,Forward,14,6,2,4,3,8
